"Interne Liste der ehemaligen Stellen f�r betreute praktische Studienprojekte (BPS) und Bachelorthesen (BT);;;;;;;;;"
";;;;;;;;;"
";;;;;;;;;"
"Stelle;Semester;Inhalte/Themen;Unternehmen;Ort/Kontaktadresse;;;;;",
"BT;WS0809;Aufbau einer prozessorientierten Knowledge Management Infrastruktur im IT-Beratungsumfeld;Daimler TSS GmbH;Wilhelm-Runge-Stra�e 11, 89081 Ulm;;;;;",
"BT;WS0809;Regelbasiertes Informationsmanagement f�r kontextsensitives und situationsabh�ngiges Verhalten in mobilen Assistenzsystemen;HFT Stuttgart;Stuttgart;;;;;",
"BT;WS0809;Konzeption eines Editors f�r die flexible Verwaltung von Metadatenmodellen am Beispiel eines Produktinformationsmanagement-Systems;Heiler Sofware AG;Mittlerer Pfad 5, 70499 Stuttgart;;;;;",
"BT;WS0809;Erstellung eines Konzepts f�r Last- und Performancetests f�r das System der Daimler Fleetboard GmbH;Daimler Fleetboard GmbH;Am Wallgraben 125, 70567 Stuttgart;;;;;",
"BPS;WS0809;Business Line Technology, Softwareentwicklung, 3rd Level Support, Unterst�tzung beim Application Management;Mieschke Hofmann und Partner GmbH;Schloss Heutingsheim, Schlossstr. 12 71691 Freiberg am Neckar;;;;;",
"BPS;WS0809;Entwicklung von Anwendungssoftware, kundenspezifisch angepasste Plattform, PPT;Vector Informatik GmbH;Ingersheimer Str. 24 70499 Stuttgart;;;;;",
"BPS;WS0809;Sensorik von Pr�fger�ten, Einf�hrung Pr�f- und Updatesystem f�r Porsche-Fhzg, FAC;Porsche AG;Porscheplatz 1, 70435 Stuttgart-Zuffenhausen;;;;;",
"BPS;WS0809;Services Procurement, Umgang mit Systemen und Prozessen eines optimierenden Einkaufs, Einkaufbestellsystem SAP, IBM Einkaufsprozesse;IBM;Pascalstra�e 100, 70569 Stuttgart;;;;;",
"BPS;WS0809;Lieferantenmanagement, Analyseprozesse, Aris-Prozessabbildung und Verbesserung, Qualit�tsanalyse Kaufteilprodukte;Daimler AG;Hans-Martin-Schleyer-Str. 21-57, 68305 Mannheim;;;;;",
"BPS;WS0809;Lieferantenmanagement, Qualit�t Logistik;Daimler AG;Mercedesstra�e 1, 76437 Rastatt, Gaggenau, Werksteil Rastatt;;;;;",
"BPS;WS0809;Beschaffungsprozessplanung, Integration von Lieferanten, Planung der Materialfl�sse, Effizienzcontrolling;Daimler AG;T�binger Allee 2, 71065 Sindelfingen;;;;;",
"BPS;WS0809;Logistik und Produktionsoptimierung, Verbrauchsteuerung, Kanban, Standardisierung, Visualisierung, Optimierung des Betriebsflusses;Bosch GmbH;T�binger Str. 123, 72762 Reutlingen;;;;;",
"BPS;WS0809;Prozessoptimierung bei AA-DG, Produktentstehungsprozesse, Abteilungsintranetseiten;Bosch GmbH;Franz-Oechsle-Stra�e 4, 73207 Plochingen;;;;;",
"BPS;WS0809;Auto+MI, Supply Chain Management, Prozessablaufmanagement, SAP, Controlling;T-Systems International GmbH;Fasanenweg 5, 70771 Leinfelden-Echterdingen;;;;;",
"BPS;WS0809;Unterst�tzung der Service Manager, Prozessoptimierung und -definition, Ver�nderungsprozess Diagnostics, Kundenzufriedenheitsstudien;Bosch GmbH;Franz-Oechsle-Stra�e 4, 73207 Plochingen;;;;;",
"BPS;WS0809;Einf�hrung GIS-System, Optimierung und Modellierung der Prozesse, performanceoptimierte Systemarchitektur f�r raumbegogene Daten, Realisierung von Konfliktsteuerung;EnBW;Kriegsbergstr. 32,  70174 Stuttgart;;;;;",
"BPS;WS0809;Entwicklung von Anwendungssoftware, Unterst�tzung beim System- und Lizenz-Management SAP;Bosch GmbH;Wernerstra�e 51, 70469 Stuttgart-Feuerbach;;;;;",
"BPS;WS0809;RFID Technology, RFID und Softwareentwicklung;IBM Stuttgart;Pascalstra�e 100, 70569 Stuttgart;;;;;",
"BPS;WS0809;Manager Purchasing;Logistics Group International;Hewlett-Packard-Stra�e 2, 71034 B�blingen;;;;;",
"BPS;WS0809;Adressoptimierung in Lotus Notes, Optimierung von Adressverteilungssystem, Prozessoptimierung;Dachser GmbH;Memminger Stra�e 140, 87439 Kempten;;;;;",
"BPS;WS0809;Service-Support, Prozessoptimierung, Logistikcontrolling, Bestandsoptimierung;Bosch Verpackungstechnik GmbH;Alte Bundesstra�e 50, 71332 Waiblingen;;;;;",
"BPS;WS0809;Einf�hrung SAP-System, Unterst�tzung Projektleitung, Prozessabstimmung, Datenmigration, Dokumentation;Bosch Engineering GmbH;Robert-Bosch-Allee 1, 74232 Abstatt;;;;;",
"BPS;WS0809;Reifegrad- und Anlaufmanagement, Logistik, Modellierung zuk�nftiger logistischer Prozesse, Entwicklung logischer Methoden f�r den Serienanlauf neuer Fahrzeugbaureihen;Daimler AG;T�binger Allee 2, 71065 Sindelfingen;;;;;",
"BPS;WS0809;Beschaffungslogistik, SAP, Termin�berwachung, Lieferantenbetreuung;Bosch Thermotechnik GmbH;Junkerstra�e 20, 73249 Wernau;;;;;",
"BT;WS0910;Analyse und Konzeption von Gesch�ftsprozessen am Beispiel einer Marktgebietskooperation im liberalisierten Erdgasmarkt Deutschland;Gasversorgung S�ddeutschland GmbH;Am Wallgraben 135, 70565 Stuttgart;;;;;",
"BT;WS0910;Studie zur Anwendung von Service Level Management (SLM) Prozessen im SAP Competence Centre der Heidelberg Cement AG;HeidelbergCement AG;Berliner Stra�e 6, 69120 Heidelberg;;;;;",
"BT;WS0910;Realisierung eines serviceorientierten Unternehmensprozesses;Fraunhofer;Nobelstr. 12, 70569 Stuttgart;;;;;",
"BT;WS0910;Entwicklung einer verursachergerechten Kostenverrechnung in der Logistik auf Basis eines Qualit�tsmanagementsystems (am Beispiel Bosch Thermotechnik GmbH);Bosch Thermotechnik GmbH;Junkerstra�e 20, 73249 Wernau;;;;;",
"BT;WS0910;Analyse der Wissensbildung in der Fahrzeugdiagnose und Konzeption eines prozessorientierten Wissensmanagements;Gigatronik GmbH;Hortensienweg 21, 70374 Stuttgart;;;;;",
"BT;WS0910;Der Aspekt Testmanagement und Testtools im CMMI � Komplex Verifikation am Beispiel der Daimler SCM � Projektes SMB;T-Systems International GmbH;Fasanenweg 5, 70771 Leinfelden-Echterdingen;;;;;",
"BT;WS0910;Implementierung einer workflowgest�tzten Testspezifikation im Projekt AnTeAs;Gigatronik GmbH;Hortensienweg 21, 70374 Stuttgart;;;;;",
"BT;WS0910;Implementierung einer Systemarchitektur zur workflowgest�tzten Testausf�hrung im Projekt AnTeAs;Gigatronik GmbH;Hortensienweg 21, 70374 Stuttgart;;;;;",
"BT;WS0910;Konzeption eines eCommerce-Systems im Bereich Diagnostic-Services zur Erweiterung der Kundenorientierung und des Dienstleistungsportfolio.;Bosch GmbH;Franz-Oechsle-Stra�e 4, 73207 Plochingen;;;;;",
"BT;WS0910;Erarbeitung und Anwendung eines Plugin-Konzepts f�r FleetBoard WebStart-Clients;Daimler Fleetboard GmbH;Am Wallgraben 125, 70567 Stuttgart;;;;;",
"BT;WS0910;Einsatz des Knowledge Discovery zur Analyse und Optimierung von Kalibrierdaten aus dem Automotive Umfeld;Vector Informatik GmbH;Ingersheimer Str. 24 70499 Stuttgart;;;;;",
"BT;WS0910;Analyse und Evaluierung von Softwarel�sungen zur Vermeidung von False Positiv Reads an RFID Portalen;IBM Deutschland GmbH;Pascalstra�e 100, 70569 Stuttgart;;;;;",
"BT;SS10;Verbesserung des globalen Wissensaustausches durch Social Software-Auswirkungen auf den internationalen Vertriebsprozess der Festo AG & Co. KG;Festo AG & Co. KG;Ruiter Stra�e 82, 73734 Esslingen-Berkheim;;;;;",
"BT;SS10;Entwicklung eines informatorischen Konzeptes zur Optimierung des kleinladungstr�ger-Belieferungsprozesses im Einsatz der Montech-F�rdertechnik;Daimler AG;Epplestrasse 227, 70567 Stuttgart;;;;;",
"BT;SS10;Verzahnung von Montage- und Logistikplanungsprozessen in der fr�hen Phase innerhalb der Digitalen Fabrik;Daimler AG;T�binger Allee 2, 71065 Sindelfingen;;;;;",
"BT;;Echtzeitortung mit Hilfe eines aktiven RFIDSystems am Beispiel der automatischen Steuerung einer Modelleisenbahn;HftT Stuttgart;Stuttgart;;;;;",
"BT;;New Generation Mobile Programming Platform Study Case: Mobile driver assistant for transport on-demand;Institut Cartogr�fic de Catalunya;Parc de Montjuic, 08038 Barcelona, Spanien;;;;;",
"BT;;Aufbereitung von Shuttle Radar Topography Mission Daten f�r die Nutzung als weltweites digitales Gel�ndemodell - Implementierung und Webservices;Geofabrik GmbH;Scheffelstra�e 17a, 76135 Karlsruhe;;;;;",
"BT;;Migration von Projektdaten in ein browserbasiertes Dokumentenmanagementsystems;;;;;;;",
"BT;;Gesch�ftsprozessoptimierung im Wissensmanagement - Modellierung und Optimierung eines Community-Prozesses;T-Systems International GmbH;Fasanenweg 5, 70771 Leinfelden-Echterdingen;;;;;",
"BT;;Entwicklung von artikelbezogenen Dispositions- und Lieferkonzepten;Kaufland Dienstleistung GmbH & Co. Kg;R�telstra�e 35, 74172 Neckarsulm;;;;;",
"BT;;Aufbau einer prozessorientierten Knowledge Management Infrastruktur im IT-Beratungsumfeld;Daimler TSS GmbH;Wilhelm-Runge-Stra�e 11, 89081 Ulm;;;;;",
"BT;;Regelbasiertes Informationsmanagement f�r kontextsensitives und situationsabh�ngiges Verhalten in mobilen Assistenzsystemen;HFT Stuttgart;Stuttgart;;;;;",
"BT;;Konzeption eines Editors f�r die flexible Verwaltung von Metadatenmodellen am Beispiel eines Produktinformationsmanagement-Systems;Heiler Sofware AG;Mittlerer Pfad 5, 70499 Stuttgart;;;;;",
"BT;;Erstellung eines Konzepts f�r Last- und Performancetests f�r das System der Daimler Fleetboard GmbH;Daimler Fleetboard GmbH;Am Wallgraben 125, 70567 Stuttgart;;;;;",
"BT;;Analyse und Konzeption von Gesch�ftsprozessen am Beispiel einer Marktgebietskooperation im liberalisierten Erdgasmarkt Deutschland;Gasversorgung S�ddeutschland GmbH;Am Wallgraben 135, 70565 Stuttgart;;;;;",
"BT;;Studie zur Anwendung von Service Level Management (SLM) Prozessen im SAP Competence Centre der Heidelberg Cement AG;HeidelbergCement AG;Berliner Stra�e 6, 69120 Heidelberg;;;;;",
"BT;;Die Lieferantennummerlogik bei Mercedes Benz PKW - Die Auswirkungen des derzeitigen Prozesses auf das Anlaufmanagement und bereichs�bergreifende Optimierungspotentiale;Daimler AG;T�binger Allee 2, 71065 Sindelfingen;;;;;",
"BT;;Realisierung eines serviceorientierten Unternehmensprozesses;Fraunhofer;Nobelstr. 12, 70569 Stuttgart;;;;;",
"BT;;Entwicklung einer verursachergerechten Kostenverrechnung in der Logistik auf Basis eines Qualit�tsmanagementsystems (am Beispiel Bosch Thermotechnik GmbH);Bosch Thermotechnik GmbH;Junkerstra�e 20, 73249 Wernau;;;;;",
"BT;;Analyse der Wissensbildung in der Fahrzeugdiagnose und Konzeption eines prozessorientierten Wissensmanagements;Gigatronik GmbH;Hortensienweg 21, 70374 Stuttgart;;;;;",
"BT;;Der Aspekt Testmanagement und Testtools im CMMI � Komplex Verifikation am Beispiel der Daimler SCM � Projektes SMB;T-Systems International GmbH;Fasanenweg 5, 70771 Leinfelden-Echterdingen;;;;;",
"BT;;Implementierung einer workflowgest�tzten Testspezifikation im Projekt AnTeAs;Gigatronik GmbH;Hortensienweg 21, 70374 Stuttgart;;;;;",
"BT;;Implementierung einer Systemarchitektur zur workflowgest�tzten Testausf�hrung im Projekt AnTeAs;Gigatronik GmbH;Hortensienweg 21, 70374 Stuttgart;;;;;",
"BT;;Konzeption eines eCommerce-Systems im Bereich Diagnostic-Services zur Erweiterung der Kundenorientierung und des Dienstleistungsportfolio.;Bosch GmbH;Franz-Oechsle-Stra�e 4, 73207 Plochingen;;;;;",
"BT;;Erarbeitung und Anwendung eines Plugin-Konzepts f�r FleetBoard WebStart-Clients;Daimler Fleetboard GmbH;Am Wallgraben 125, 70567 Stuttgart;;;;;",
"BT;;Einsatz des Knowledge Discovery zur Analyse und Optimierung von Kalibrierdaten aus dem Automotive Umfeld;Vector Informatik GmbH;Ingersheimer Str. 24 70499 Stuttgart;;;;;",
"BT;;Analyse und Evaluierung von Softwarel�sungen zur Vermeidung von False Positiv Reads an RFID Portalen;IBM Deutschland GmbH;Pascalstra�e 100, 70569 Stuttgart;;;;;"
"",
